Id	Fontes	Ref_Cit
307890463	Akbari-Shandiz 2019	MEDICAL ENGINEERING & PHYSICS,JOURNAL OF EXPERIMENTAL BIOLOGY,MEDICAL ENGINEERING & PHYSICS,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,SPINE JOURNAL,JOURNAL OF ORTHOPAEDIC RESEARCH,JOURNAL OF MAGNETIC RESONANCE IMAGING,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,RADIOLOGY,1999 IEEE NUCLEAR SCIENCE SYMPOSIUM - CONFERENCE RECORD, VOLS 1-3,PATTERN RECOGNITION,SIAM JOURNAL ON OPTIMIZATION,MAGNETIC RESONANCE IN MEDICINE,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,MEDICAL PHYSICS
307891259	Alexander 2018	FRONTIERS IN HUMAN NEUROSCIENCE,HUMAN MOVEMENT SCIENCE,MANUAL THERAPY,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,GAIT & POSTURE,GAIT & POSTURE,CLINICAL BIOMECHANICS,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,GAIT & POSTURE,GAIT & POSTURE,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,MEDICAL CARE
307891499	Bey 2006	JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC RESEARCH,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF ORTHOPAEDIC RESEARCH,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,CLINICAL BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,INVESTIGATIVE RADIOLOGY,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC RESEARCH,JOURNAL OF SPORTS SCIENCES,JOURNAL OF SHOULDER AND ELBOW SURGERY,IEEE TRANSACTIONS ON MEDICAL IMAGING,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF ORTHOPAEDIC RESEARCH,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICS,RADIOLOGY,SURGICAL AND RADIOLOGIC ANATOMY,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,SURGICAL AND RADIOLOGIC ANATOMY,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,SKELETAL RADIOLOGY,JOURNAL OF BIOMECHANICS,JOURNAL OF REHABILITATION RESEARCH AND DEVELOPMENT,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF SHOULDER AND ELBOW SURGERY,CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES,JOURNAL OF BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,PERCEPTUAL AND MOTOR SKILLS,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF ORTHOPAEDIC RESEARCH,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307891493	Bourne 2007	JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF BIOMECHANICS,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF BIOMECHANICS
307888812	Bourne 2009	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,GAIT & POSTURE,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,HUMAN MOVEMENT SCIENCE,HUMAN MOVEMENT SCIENCE,SPINE,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,SPINE,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307890851	Bourne 2011	JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF SHOULDER AND ELBOW SURGERY,CLINICAL BIOMECHANICS,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,CLINICAL BIOMECHANICS,PHYSICAL THERAPY,MEDICINE AND SCIENCE IN SPORTS AND EXERCISE,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,CLINICAL BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL REHABILITATION,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,PSYCHOLOGICAL BULLETIN
307890663	Cereatti 2015	JOURNAL OF ORTHOPAEDIC SURGERY AND RESEARCH,JOURNAL OF SHOULDER AND ELBOW SURGERY,BONE & JOINT RESEARCH,HUMAN MOVEMENT SCIENCE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,ANNALS OF BIOMEDICAL ENGINEERING,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,SPORTS MEDICINE,KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,AMERICAN JOURNAL OF SPORTS MEDICINE,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,CLINICAL BIOMECHANICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF BIOMECHANICS,HUMAN MOVEMENT SCIENCE,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS
307891403	Chu 2012	JOURNAL OF APPLIED BIOMECHANICS,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,AMERICAN JOURNAL OF SPORTS MEDICINE,ARTHROSCOPY,CLINICAL BIOMECHANICS,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307891485	Crosbie 2008	CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,CLINICAL BIOMECHANICS,JOURNAL OF APPLIED BIOMECHANICS,ANNALS OF THE RHEUMATIC DISEASES,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307888965	Cutti 2008	JOURNAL OF BIOMECHANICS,MANUAL THERAPY,PHYSICAL THERAPY,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF HAND THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,PHYSICAL THERAPY,CLINICAL BIOMECHANICS,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS
307890692	Cutti 2014	BRITISH JOURNAL OF SPORTS MEDICINE,JOURNAL OF SHOULDER AND ELBOW SURGERY,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,GAIT & POSTURE,SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF SHOULDER AND ELBOW SURGERY,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,CLINICAL BIOMECHANICS,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,GAIT & POSTURE,GAIT & POSTURE,CLINICAL BIOMECHANICS,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF BIOMECHANICS,MANUAL THERAPY,CLINICAL BIOMECHANICS,INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF REHABILITATION RESEARCH AND DEVELOPMENT,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,JOURNAL OF SHOULDER AND ELBOW SURGERY,CLINICAL BIOMECHANICS,GAIT & POSTURE,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,CLINICAL BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,GAIT & POSTURE,ANNALS OF STATISTICS
307891381	de Baets 2013	JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,STROKE,JOURNAL OF NEUROLOGIC PHYSICAL THERAPY,GAIT & POSTURE,JOURNAL OF MOTOR BEHAVIOR,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,GAIT & POSTURE,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF REHABILITATION MEDICINE,PHYSICAL THERAPY,BMC MUSCULOSKELETAL DISORDERS,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,STROKE,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,GAIT & POSTURE,STROKE,PHYSICAL THERAPY,CLINICAL BIOMECHANICS,MEDICAL CARE,JOURNAL OF ORTHOPAEDIC RESEARCH,BRITISH MEDICAL JOURNAL
307891224	de Baets 2020	SENSORS,GAIT & POSTURE,MANUAL THERAPY,JOURNAL OF BIOMECHANICS,SENSORS,JOURNAL OF OCCUPATIONAL MEDICINE AND TOXICOLOGY,PHYSIOTHERAPY,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,CLINICAL RHEUMATOLOGY,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,GAIT & POSTURE,JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF REHABILITATION MEDICINE,JOURNAL OF SHOULDER AND ELBOW SURGERY,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,GAIT & POSTURE,JOURNAL OF BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH
307888762	Fayad 2006	CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF SHOULDER AND ELBOW SURGERY,JOURNAL OF BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,EXPERIMENTAL BRAIN RESEARCH,CLINICAL BIOMECHANICS,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,JOURNAL OF APPLIED BIOMECHANICS,ANNALS OF THE RHEUMATIC DISEASES,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF BIOMECHANICS,PHYSICAL THERAPY,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF SHOULDER AND ELBOW SURGERY,BRITISH MEDICAL JOURNAL,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF NEUROSCIENCE,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,ANNALS OF THE RHEUMATIC DISEASES,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,CLINICAL BIOMECHANICS,JOURNAL OF RHEUMATOLOGY,CLINICAL ORTHOPAEDICS AND RELATED RESEARCH,ARTHRITIS AND RHEUMATISM,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307891026	Finley 2003	JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,ORTHOPEDIC CLINICS OF NORTH AMERICA,PHYSICAL THERAPY,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,AMERICAN JOURNAL OF SPORTS MEDICINE,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,CLINICAL BIOMECHANICS,CLINICAL BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICAL ENGINEERING-TRANSACTIONS OF THE ASME,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME
307891249	Gonçalves 2019	GAIT & POSTURE,CURRENT REVIEWS IN MUSCULOSKELETAL MEDICINE,JOURNAL OF BIOMECHANICS,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,JOURNAL OF BIOMECHANICS,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY,GAIT & POSTURE,GAIT & POSTURE,JOURNAL OF APPLIED BIOMECHANICS,MANUAL THERAPY,JOURNAL OF BIOMECHANICS,ANNALS OF BIOMEDICAL ENGINEERING,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION,BMC MUSCULOSKELETAL DISORDERS,JOURNAL OF BIOMECHANICS,GAIT & POSTURE,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,GAIT & POSTURE,CLINICAL BIOMECHANICS,AMERICAN JOURNAL OF MENTAL DEFICIENCY
